day=43 max=-33073 idx=18 scores=[-50552, -33430, -37925, -40575, -43387, -46666, -38915, -45162, -37563, -45488, -49188, -34992, -35317, -36442, -35000, -37446, -42072, -41994, -33073, -37871, -49720, -48038, -44434, -35304, -34324, -44700]
day=44 max=-31951 idx=10 scores=[-48669, -42815, -47600, -45421, -50420, -53385, -44598, -43813, -42703, -51046, -31951, -40165, -51998, -39035, -42587, -34344, -49333, -42090, -44962, -46820, -52821, -47665, -44577, -44331, -43161, -47142]
day=45 max=-33472 idx=1 scores=[-43206, -33472, -41074, -47407, -45435, -48902, -41925, -45121, -40620, -52354, -46660, -54281, -43611, -44226, -40043, -39493, -52470, -44798, -34427, -49416, -43816, -42731, -35366, -48391, -50660, -42216]
day=46 max=-35712 idx=15 scores=[-54871, -41795, -41096, -47543, -53588, -53965, -41100, -52465, -45174, -40989, -50012, -48880, -45309, -39156, -45839, -35712, -44697, -39586, -45056, -39139, -41091, -54105, -45806, -53923, -40157, -43521]
day=47 max=-36636 idx=6 scores=[-43705, -52543, -54376, -38564, -54276, -39684, -36636, -42274, -52479, -49078, -51044, -52534, -46479, -55636, -41115, -43910, -48151, -44400, -40778, -44945, -54665, -40199, -52576, -39354, -41088, -52745]
day=48 max=-36522 idx=1 scores=[-50591, -36522, -54054, -44971, -47757, -48271, -52431, -54581, -47651, -39955, -51437, -55517, -55526, -45930, -45398, -39749, -50654, -52131, -41545, -40955, -42215, -41830, -50973, -54704, -40807, -41701]
day=49 max=-38655 idx=3 scores=[-45024, -44708, -60297, -38655, -41652, -48362, -43596, -59529, -50313, -56710, -43453, -46939, -49688, -49927, -55591, -48560, -46882, -54284, -52522, -46772, -54846, -59398, -52022, -52596, -59680, -50922]
day=50 max=-41238 idx=11 scores=[-54928, -46219, -58142, -44888, -60102, -53139, -52094, -47250, -56098, -55226, -53794, -41238, -44460, -55665, -58219, -58468, -44606, -44291, -58162, -56092, -50481, -45783, -44694, -49382, -47769, -46316]
day=51 max=-39300 idx=1 scores=[-62821, -39300, -44136, -55455, -46769, -58792, -48371, -62383, -42865, -49947, -57180, -59182, -48707, -47061, -52923, -44971, -61941, -45958, -54335, -48787, -52245, -59874, -56228, -55314, -44276, -59422]
day=52 max=-45190 idx=12 scores=[-49843, -55170, -56236, -58194, -52278, -55955, -45449, -59729, -53023, -50344, -58936, -63477, -45190, -58067, -53393, -47435, -56030, -55150, -50313, -47183, -53751, -48425, -52263, -60490, -53738, -49963]
day=53 max=-42605 idx=1 scores=[-47648, -42605, -55660, -46144, -62855, -52052, -51590, -45232, -46845, -56007, -58137, -53603, -63179, -56857, -56341, -53518, -45682, -59844, -49256, -51368, -51508, -60095, -47398, -49228, -57030, -55312]
day=54 max=-43910 idx=14 scores=[-60858, -55610, -53166, -56989, -56069, -63679, -50834, -55752, -54263, -49848, -51967, -47678, -64040, -60803, -43910, -56039, -46691, -61793, -58264, -51623, -52211, -47920, -60492, -46106, -58282, -63125]
day=55 max=-45278 idx=9 scores=[-55837, -54625, -50294, -47095, -56288, -66707, -53840, -47690, -46610, -45278, -46174, -63493, -56333, -54034, -53472, -47397, -67868, -57306, -58820, -59443, -59022, -59109, -55351, -59579, -62994, -67548]
day=56 max=-48900 idx=15 scores=[-57040, -49516, -54152, -63117, -49712, -67535, -61959, -55603, -53697, -64404, -60927, -67270, -56441, -55066, -64443, -48900, -52489, -53642, -64251, -61408, -64403, -68788, -63932, -62639, -63154, -60683]
day=57 max=-50019 idx=20 scores=[-69404, -62585, -50646, -65308, -66950, -56698, -52076, -51740, -62529, -53136, -63081, -55378, -61630, -53510, -64553, -58234, -58940, -54162, -54605, -60319, -50019, -56225, -60275, -60853, -52243, -65485]
day=58 max=-49219 idx=10 scores=[-63220, -64707, -62090, -52496, -62979, -53786, -56905, -69811, -65845, -52461, -49219, -66122, -58351, -58497, -64850, -49896, -60614, -62871, -52535, -64286, -53297, -57817, -62280, -61812, -53076, -58032]
day=59 max=-48971 idx=19 scores=[-72837, -63891, -68888, -60902, -54369, -71409, -60628, -59150, -60904, -65870, -50293, -63666, -69208, -69336, -65004, -55365, -62094, -53770, -58735, -48971, -54682, -60332, -68115, -58958, -72920, -63832]
day=60 max=-50125 idx=22 scores=[-62430, -63563, -55530, -66490, -62409, -71522, -53524, -54061, -69057, -51006, -68114, -65210, -66521, -67490, -50431, -55453, -57142, -52250, -69034, -50322, -65765, -73029, -50125, -58503, -58090, -56851]
day=61 max=-54356 idx=3 scores=[-57564, -70320, -68667, -54356, -70513, -58129, -66191, -62815, -72272, -64455, -62461, -69945, -76076, -63573, -69729, -65704, -60599, -63682, -54679, -70432, -63099, -65368, -62609, -71491, -67575, -58112]
day=62 max=-53507 idx=22 scores=[-75808, -67189, -74390, -70314, -69584, -73171, -56053, -73739, -59866, -72492, -62970, -57247, -61360, -58144, -59286, -67287, -70571, -53948, -62163, -59960, -56846, -65389, -53507, -63732, -70145, -66599]
day=63 max=-53583 idx=1 scores=[-76797, -53583, -75077, -63852, -64666, -69141, -74282, -68467, -63383, -69233, -70776, -61759, -62979, -57938, -60835, -58346, -64671, -62212, -65998, -61933, -72099, -71680, -53813, -64442, -66892, -64342]
day=64 max=-56135 idx=15 scores=[-63939, -62663, -76818, -67545, -68712, -72375, -68622, -58816, -75365, -57172, -70616, -59104, -63788, -74069, -61273, -56135, -72994, -62852, -61772, -60623, -70539, -65485, -69228, -73011, -69498, -64959]
day=65 max=-55696 idx=19 scores=[-77982, -68795, -62850, -72417, -63532, -74765, -73907, -66425, -66681, -71479, -74222, -65118, -67233, -67352, -63829, -70354, -77785, -59281, -72395, -55696, -71993, -75720, -62260, -64910, -67766, -60588]
day=66 max=-59226 idx=17 scores=[-82031, -67633, -77338, -72317, -81104, -67084, -63499, -76727, -73455, -72579, -69118, -67700, -74549, -63758, -75571, -63859, -68646, -59226, -64161, -70001, -75553, -79431, -74846, -71351, -74158, -71182]
day=67 max=-60075 idx=17 scores=[-69632, -63889, -82228, -60206, -76432, -77660, -61263, -79641, -60387, -68972, -63439, -67697, -72566, -63508, -75407, -71802, -73015, -60075, -74115, -61849, -79177, -71964, -75382, -76057, -81384, -63267]
day=68 max=-61569 idx=9 scores=[-83900, -71432, -76821, -74693, -68409, -69080, -66422, -67897, -62417, -61569, -64539, -74788, -83254, -62007, -66773, -73868, -71705, -69912, -76319, -72843, -76389, -84457, -65553, -71234, -65917, -65453]
day=69 max=-63477 idx=9 scores=[-68223, -67202, -78535, -80030, -75556, -76661, -65252, -82934, -76500, -63477, -73784, -82860, -85163, -75310, -80315, -67574, -79767, -71085, -71866, -73132, -80821, -72315, -75654, -82805, -81474, -83330]
day=70 max=-62604 idx=15 scores=[-72442, -77323, -83846, -79310, -73358, -67603, -73358, -74203, -69167, -63206, -67616, -69190, -77921, -68800, -69036, -62604, -81614, -79837, -74676, -63523, -70382, -84318, -76415, -83566, -69344, -75841]
day=71 max=-66537 idx=1 scores=[-69024, -66537, -86835, -77339, -75912, -72151, -66571, -83820, -72189, -81966, -83166, -67446, -81452, -74588, -81669, -69147, -83717, -70908, -78499, -72997, -70005, -88263, -68589, -81330, -77399, -75479]
day=72 max=-66863 idx=10 scores=[-70599, -74382, -69425, -80151, -83176, -85326, -78505, -73390, -70858, -74334, -66863, -82781, -84664, -85070, -74763, -77371, -83157, -69901, -76092, -83065, -69723, -78410, -80720, -80378, -71275, -80622]
day=73 max=-66470 idx=17 scores=[-87358, -71307, -73413, -69880, -76279, -84391, -71467, -70753, -79091, -79383, -82838, -85208, -88681, -74183, -81220, -74011, -83785, -66470, -82159, -70889, -72439, -81708, -69642, -80252, -89144, -79991]
day=74 max=-66658 idx=15 scores=[-80276, -77927, -86415, -78877, -85725, -89697, -69039, -80615, -82659, -77164, -71597, -90041, -78882, -84270, -69399, -66658, -78106, -79097, -85715, -66955, -84423, -86486, -79201, -69639, -77470, -78379]
day=75 max=-72692 idx=22 scores=[-86067, -76425, -81255, -80106, -92262, -81326, -86657, -76621, -74865, -78994, -76828, -77925, -77277, -88875, -85953, -73458, -88816, -80489, -73946, -76837, -73421, -83166, -72692, -77323, -92322, -89745]
day=76 max=-73454 idx=3 scores=[-85286, -81743, -84289, -73454, -93254, -77912, -78635, -92999, -78283, -78920, -84048, -75035, -86076, -80134, -86298, -79421, -75157, -82902, -85227, -85496, -74476, -84346, -87839, -79300, -75253, -86544]
day=77 max=-75179 idx=15 scores=[-81710, -84762, -78411, -87098, -78004, -79524, -84350, -91946, -80305, -81672, -81086, -77725, -79871, -89166, -85862, -75179, -94168, -85651, -92740, -75669, -85127, -81679, -76911, -80940, -79339, -86331]
day=78 max=-71760 idx=22 scores=[-79669, -73150, -93894, -86813, -90123, -93814, -81492, -90100, -83167, -72280, -83789, -76955, -90645, -76652, -88609, -73887, -86238, -86026, -87073, -73325, -80735, -87895, -71760, -83186, -96380, -90434]
day=79 max=-74055 idx=1 scores=[-92149, -74055, -82408, -80069, -79959, -95169, -83514, -86648, -89144, -74903, -87546, -82014, -88328, -91075, -81522, -76658, -80980, -77427, -86663, -86082, -83562, -86157, -87646, -83485, -80664, -83730]
day=80 max=-75203 idx=3 scores=[-99619, -84190, -93567, -75203, -87354, -87385, -95298, -80337, -79716, -85820, -92611, -92281, -92217, -78096, -90425, -76834, -79714, -88816, -84816, -82464, -90784, -94983, -89114, -82009, -86586, -93714]
day=81 max=-76079 idx=19 scores=[-85734, -90078, -80171, -87112, -85608, -90574, -81534, -86881, -80363, -78502, -92672, -79752, -82346, -97080, -89231, -91648, -97203, -78891, -77908, -76079, -79800, -89277, -92207, -88284, -89367, -93787]
day=82 max=-76425 idx=14 scores=[-96344, -82121, -91921, -94583, -85378, -93230, -89624, -89361, -92256, -96429, -82620, -86129, -102029, -78677, -76425, -91647, -92096, -83631, -88239, -93136, -93673, -93418, -82326, -91934, -96251, -83439]
day=83 max=-78884 idx=10 scores=[-87778, -86309, -90135, -82869, -93530, -88357, -94174, -88757, -83443, -79252, -78884, -86181, -84493, -96931, -91512, -89425, -90370, -90949, -86548, -89088, -85851, -84491, -84257, -91093, -99523, -88802]
day=84 max=-78557 idx=19 scores=[-93706, -91871, -85606, -84025, -100089, -102938, -96019, -100307, -96864, -87448, -94363, -93218, -98795, -99463, -86489, -89062, -87790, -87217, -98864, -78557, -97814, -101999, -79083, -97789, -92380, -91088]
day=85 max=-79600 idx=22 scores=[-96438, -85913, -104062, -93564, -102301, -98929, -95417, -103662, -82099, -80309, -98898, -102002, -102649, -94177, -85136, -98849, -89964, -85417, -85608, -88281, -97656, -101580, -79600, -88687, -87125, -89482]
day=86 max=-83244 idx=8 scores=[-90456, -84079, -99580, -97057, -106706, -94724, -97050, -86268, -83244, -84462, -90259, -88576, -105425, -89802, -89682, -95766, -98241, -86472, -97536, -90913, -103140, -95780, -89657, -97359, -99026, -92885]
day=87 max=-81281 idx=1 scores=[-106758, -81281, -93033, -97313, -96847, -92250, -95518, -105255, -92365, -95648, -89491, -96268, -94454, -96334, -99733, -97668, -105748, -89445, -89537, -85655, -92386, -94272, -88587, -104174, -100016, -95868]
day=88 max=-87207 idx=20 scores=[-106860, -91711, -108159, -89278, -90683, -106429, -97070, -93546, -88754, -96595, -101332, -97041, -106375, -92706, -88356, -99018, -102464, -97173, -89610, -96451, -87207, -90564, -98204, -103694, -98925, -91925]
day=89 max=-85069 idx=19 scores=[-111317, -86028, -95315, -101512, -99237, -104446, -96170, -102646, -95075, -90944, -90341, -99495, -93373, -98932, -100929, -99447, -98606, -86330, -106780, -85069, -89104, -97643, -85101, -88090, -109454, -100014]
day=90 max=-84796 idx=17 scores=[-98842, -95014, -101446, -101175, -95287, -96765, -105675, -96889, -106322, -99458, -86340, -99166, -97883, -107788, -100599, -96542, -104154, -84796, -106539, -99790, -101894, -111447, -101636, -103132, -94508, -109337]
day=91 max=-87559 idx=1 scores=[-97645, -87559, -108434, -99885, -100887, -98846, -101553, -107711, -98729, -100848, -87902, -105284, -109243, -99203, -105952, -104820, -92862, -102161, -106205, -97387, -100556, -97602, -92124, -100872, -100743, -103154]
day=92 max=-91205 idx=18 scores=[-96783, -97378, -108041, -99486, -96159, -111968, -101858, -105275, -97458, -95831, -96082, -99786, -111491, -99699, -98485, -98545, -103621, -103333, -91205, -97570, -91413, -105810, -101183, -93708, -108999, -102230]
day=93 max=-91264 idx=3 scores=[-109599, -107130, -104429, -91264, -101162, -110847, -93160, -107503, -110364, -100920, -106334, -100151, -102945, -94195, -98434, -98035, -98408, -104282, -111103, -97115, -98244, -114306, -94282, -93988, -104276, -98432]
day=94 max=-91364 idx=17 scores=[-105529, -96793, -106829, -100857, -101152, -104026, -97499, -103328, -106948, -106802, -105230, -102644, -106466, -106764, -102181, -93957, -100491, -91364, -111879, -107917, -108155, -103090, -94022, -104798, -102123, -113700]
day=95 max=-93385 idx=10 scores=[-99464, -98548, -106263, -102658, -107388, -109412, -97090, -100828, -104121, -107617, -93385, -99008, -102934, -105320, -102481, -101783, -114529, -96233, -113501, -96936, -107392, -111660, -105953, -96999, -99802, -100596]
day=96 max=-91480 idx=1 scores=[-107329, -91480, -108525, -96929, -109331, -103539, -104064, -114660, -108836, -104768, -101254, -101993, -116815, -106538, -101948, -112264, -106415, -109833, -97520, -109282, -108641, -112273, -95367, -97290, -114218, -113143]
day=97 max=-93618 idx=3 scores=[-119407, -111723, -113973, -93618, -103598, -115226, -109871, -111248, -115229, -108717, -104427, -105988, -117457, -110802, -111170, -104654, -113448, -95723, -104708, -93740, -100194, -107682, -94862, -114791, -110791, -102265]
day=98 max=-99871 idx=22 scores=[-107829, -102709, -105705, -103197, -105957, -113423, -100335, -102376, -114122, -108775, -107777, -119615, -103105, -105234, -112410, -107747, -111103, -107960, -115744, -104168, -116862, -121156, -99871, -117628, -103563, -103810]
day=99 max=-96521 idx=1 scores=[-112261, -96521, -111179, -98302, -113368, -119730, -106141, -108566, -108380, -106004, -108041, -102363, -119838, -115230, -102630, -107732, -108605, -104011, -99444, -110730, -104245, -115184, -106726, -109640, -105974, -118742]
day=100 max=-100130 idx=9 scores=[-123485, -106444, -122359, -110218, -115092, -112208, -118521, -118327, -114343, -100130, -103548, -119857, -107275, -103081, -101327, -111749, -112427, -112913, -109963, -106593, -107697, -116242, -100429, -118392, -105214, -115595]
day=101 max=-97843 idx=17 scores=[-122804, -101400, -114864, -111783, -113064, -113469, -116728, -117924, -107476, -108393, -102155, -116847, -112771, -109306, -116324, -116597, -112277, -97843, -119795, -98407, -102258, -108852, -99804, -112060, -108080, -114812]
day=102 max=-100042 idx=15 scores=[-107655, -104283, -117349, -104142, -111632, -122245, -115674, -109335, -116231, -105941, -114362, -113573, -125499, -103969, -106175, -100042, -109210, -115868, -111798, -110083, -119624, -109510, -109806, -105673, -114445, -123819]
day=103 max=-101883 idx=9 scores=[-119744, -114267, -124755, -115095, -126054, -121893, -109961, -124201, -117118, -101883, -112773, -114441, -117315, -120431, -109669, -119227, -118507, -109535, -112536, -108266, -106031, -116278, -109797, -118960, -125616, -110370]
day=104 max=-103197 idx=15 scores=[-117096, -110111, -127807, -115469, -125677, -115805, -122588, -110777, -110149, -107571, -109041, -123585, -110623, -112811, -109065, -103197, -114496, -108671, -124842, -107135, -123770, -115636, -109984, -106409, -127620, -125588]
day=105 max=-103532 idx=14 scores=[-119364, -120551, -111529, -117330, -113851, -120461, -113705, -118997, -114001, -117031, -110565, -114972, -130485, -114659, -103532, -111122, -122682, -116563, -107199, -106167, -107132, -128725, -105782, -125824, -129452, -128072]
day=106 max=-103577 idx=22 scores=[-124698, -121751, -123985, -123113, -126741, -111332, -119545, -119280, -118114, -123592, -120062, -111378, -131440, -112748, -106511, -108877, -113491, -111872, -117635, -107686, -118709, -124455, -103577, -108515, -113346, -111883]
day=107 max=-104953 idx=3 scores=[-124561, -110108, -118645, -104953, -129112, -113223, -128261, -130249, -125929, -108192, -114856, -121674, -126545, -118479, -115207, -112392, -128804, -114577, -115985, -110370, -126151, -120796, -106228, -114552, -126270, -121858]
day=108 max=-104637 idx=1 scores=[-116776, -104637, -118153, -109282, -117389, -112740, -119882, -129402, -109198, -117100, -123788, -116986, -132379, -121975, -126110, -106985, -124827, -106687, -120679, -106365, -112334, -119782, -112340, -128400, -128269, -126787]
day=109 max=-109495 idx=17 scores=[-123833, -122039, -126944, -121670, -123412, -115123, -112399, -127362, -114327, -122441, -112511, -127756, -124786, -120517, -112317, -120674, -125345, -109495, -119882, -113511, -120161, -128384, -118774, -120146, -124056, -125518]
day=110 max=-109694 idx=22 scores=[-137091, -118203, -129797, -123106, -128938, -115880, -116055, -122234, -129699, -117278, -117577, -133255, -122137, -122282, -117607, -125656, -129599, -116442, -119308, -121757, -113640, -118966, -109694, -127221, -133710, -128516]
day=111 max=-110107 idx=1 scores=[-122923, -110107, -134699, -127073, -121076, -132144, -117696, -120694, -118557, -121805, -111597, -132402, -134230, -124770, -125477, -111864, -128863, -116329, -120767, -118876, -123186, -127964, -126911, -120366, -120267, -129006]
day=112 max=-114275 idx=17 scores=[-121871, -126901, -124041, -127685, -134609, -120372, -126933, -133426, -118561, -117494, -116601, -130611, -121144, -126499, -128236, -119818, -135145, -114275, -130516, -118450, -128920, -135406, -119818, -123677, -126322, -125306]
day=113 max=-114012 idx=1 scores=[-133347, -114012, -121238, -131402, -139220, -130453, -120001, -137603, -135013, -132833, -132195, -126633, -131955, -119561, -128637, -126374, -131877, -121526, -124368, -126973, -121049, -123290, -122299, -126960, -130253, -123394]
